Unnamed: 0,Clothing ID,Age,Title,Review Text,Rating,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name
30,1040,55,Great Buy,Fair product for the price point. Fits okay but nothing exceptional.,3,1,4,General,Tops,Blouses
31,1009,63,Disappointed,"Disappointing purchase. Cheap fabric, scratchy texture, and poor tailoring.",1,0,4,General,Intimate,Knits
32,957,55,Great Buy,Gorgeous color and wonderful material. Highly recommend buying this top!,5,1,7,Initmates,Tops,Knits
33,943,30,Disappointed,"Awful fit, looks like a sack on me. Fabric feels synthetic and uncomfortable.",1,0,2,General,Bottoms,Dresses
34,1103,49,Great Buy,One of my favorite purchases this season! Fits great and very versatile.,5,1,14,General Petite,Jackets,Fine knit
35,843,29,Disappointed,Poor stitching and completely see-through. Definitely not worth the price.,1,0,12,General Petite,Bottoms,Blouses
36,1181,39,Great Buy,Fair product for the price point. Fits okay but nothing exceptional.,3,1,6,Initmates,Intimate,Knits
37,861,44,Great Buy,One of my favorite purchases this season! Fits great and very versatile.,5,1,12,General,Bottoms,Dresses
38,1060,41,Disappointed,Sizing is completely off. Ordered my usual size and couldn't even zip it.,1,0,4,Initmates,Bottoms,Fine knit
39,962,38,Great Buy,I absolutely loved this dress! Fits perfectly and very comfortable to wear all day.,5,1,9,Initmates,Jackets,Pants
40,1112,68,Disappointed,The color faded immediately and button fell off. Very bad construction.,1,0,0,Initmates,Intimate,Knits
41,965,52,Disappointed,Shrank completely after the first wash! Terrible quality for the price.,1,0,6,General Petite,Dresses,Blouses
42,1197,36,Great Buy,"Decent quality for the price, but runs slightly small around the waist.",3,1,13,General,Tops,Blouses
43,896,47,Great Buy,Great quality fabric and beautiful fit. Got so many compliments at work.,5,1,6,General Petite,Dresses,Pants
44,959,50,Great Buy,Gorgeous color and wonderful material. Highly recommend buying this top!,5,1,2,General Petite,Dresses,Pants
45,880,29,Great Buy,Super cute top! The embroidery details are amazing and material feels premium.,5,1,2,General Petite,Jackets,Dresses
46,877,62,Disappointed,"Disappointing purchase. Cheap fabric, scratchy texture, and poor tailoring.",1,0,10,General,Jackets,Blouses
47,960,68,Great Buy,Flattering cut and lovely fabric! Will definitely order in another color.,5,1,12,General Petite,Dresses,Knits
48,800,34,Disappointed,"Awful fit, looks like a sack on me. Fabric feels synthetic and uncomfortable.",1,0,11,General,Intimate,Dresses
49,895,50,Great Buy,Fair product for the price point. Fits okay but nothing exceptional.,3,1,9,General Petite,Tops,Dresses
50,897,48,Great Buy,Gorgeous color and wonderful material. Highly recommend buying this top!,5,1,5,Initmates,Tops,Fine knit
51,913,36,Disappointed,Item arrived with torn seams and looks completely different from the pictures.,1,0,7,Initmates,Jackets,Knits
52,982,30,Great Buy,I absolutely loved this dress! Fits perfectly and very comfortable to wear all day.,5,1,7,General,Intimate,Pants
53,1087,21,Disappointed,"Terrible material, feels cheap and fits horribly. Returning it immediately.",1,0,6,General,Jackets,Dresses
54,1082,67,Great Buy,Soft material and nice design. Fits really well and fast shipping too.,5,1,4,General Petite,Intimate,Fine knit
55,1178,26,Disappointed,The color faded immediately and button fell off. Very bad construction.,1,0,14,General,Tops,Knits
56,831,22,Disappointed,Way over-priced for such thin material. Doesn't look good at all.,1,0,12,General,Jackets,Fine knit
57,1035,49,Great Buy,One of my favorite purchases this season! Fits great and very versatile.,5,1,12,General Petite,Intimate,Knits
58,837,44,Disappointed,Poor stitching and completely see-through. Definitely not worth the price.,1,0,13,Initmates,Jackets,Knits
59,1040,31,Great Buy,Cute design but required ironing out of the bag. Average quality overall.,3,1,4,General,Dresses,Knits
60,1026,52,Great Buy,Super cute top! The embroidery details are amazing and material feels premium.,5,1,2,General Petite,Tops,Pants
61,838,21,Great Buy,Gorgeous color and wonderful material. Highly recommend buying this top!,5,1,14,General Petite,Tops,Knits
62,1117,68,Great Buy,Cute design but required ironing out of the bag. Average quality overall.,3,1,9,General Petite,Intimate,Knits
63,993,36,Great Buy,I absolutely loved this dress! Fits perfectly and very comfortable to wear all day.,5,1,3,General Petite,Jackets,Pants
64,872,64,Great Buy,"Material is fine, but the sleeves are a bit longer than expected.",3,1,8,General Petite,Tops,Knits
65,1080,21,Disappointed,"Awful fit, looks like a sack on me. Fabric feels synthetic and uncomfortable.",1,0,9,General,Jackets,Dresses
66,1036,55,Disappointed,Item arrived with torn seams and looks completely different from the pictures.,1,0,14,General Petite,Bottoms,Dresses
67,1143,62,Disappointed,"Terrible material, feels cheap and fits horribly. Returning it immediately.",1,0,13,General,Tops,Knits
68,977,52,Great Buy,Super cute top! The embroidery details are amazing and material feels premium.,5,1,2,General,Intimate,Knits
69,1190,38,Disappointed,Shrank completely after the first wash! Terrible quality for the price.,1,0,1,General Petite,Tops,Blouses
70,1052,53,Great Buy,Great quality fabric and beautiful fit. Got so many compliments at work.,5,1,3,General,Bottoms,Knits
71,865,26,Great Buy,"The sweater is warm, soft, and stylish. Fits true to size and looks elegant.",5,1,2,Initmates,Jackets,Fine knit
72,935,49,Great Buy,One of my favorite purchases this season! Fits great and very versatile.,5,1,5,General,Dresses,Fine knit
73,811,43,Great Buy,I absolutely loved this dress! Fits perfectly and very comfortable to wear all day.,5,1,14,General Petite,Jackets,Blouses
74,1089,62,Great Buy,Super cute top! The embroidery details are amazing and material feels premium.,5,1,12,General Petite,Dresses,Blouses
75,1114,22,Great Buy,Cute design but required ironing out of the bag. Average quality overall.,3,1,0,Initmates,Intimate,Fine knit
76,882,66,Disappointed,Sizing is completely off. Ordered my usual size and couldn't even zip it.,1,0,5,General,Intimate,Fine knit
77,1102,59,Disappointed,"Awful fit, looks like a sack on me. Fabric feels synthetic and uncomfortable.",1,0,7,Initmates,Tops,Blouses
78,959,51,Great Buy,One of my favorite purchases this season! Fits great and very versatile.,5,1,7,General Petite,Intimate,Blouses
79,938,64,Great Buy,Gorgeous color and wonderful material. Highly recommend buying this top!,5,1,12,Initmates,Bottoms,Blouses
80,1188,47,Great Buy,"Decent quality for the price, but runs slightly small around the waist.",3,1,9,General Petite,Bottoms,Fine knit
81,1100,26,Disappointed,"Disappointing purchase. Cheap fabric, scratchy texture, and poor tailoring.",1,0,0,Initmates,Intimate,Dresses
82,874,65,Great Buy,One of my favorite purchases this season! Fits great and very versatile.,5,1,1,General Petite,Dresses,Blouses
83,904,56,Disappointed,Sizing is completely off. Ordered my usual size and couldn't even zip it.,1,0,4,Initmates,Jackets,Knits
84,991,31,Great Buy,"The sweater is warm, soft, and stylish. Fits true to size and looks elegant.",5,1,3,General Petite,Tops,Fine knit
85,1102,20,Disappointed,Sizing is completely off. Ordered my usual size and couldn't even zip it.,1,0,8,General,Tops,Pants
86,946,26,Great Buy,Cute design but required ironing out of the bag. Average quality overall.,3,1,3,Initmates,Intimate,Dresses
87,1175,48,Disappointed,Shrank completely after the first wash! Terrible quality for the price.,1,0,10,General,Dresses,Pants
88,1037,48,Great Buy,Soft material and nice design. Fits really well and fast shipping too.,5,1,11,General Petite,Bottoms,Fine knit
89,1153,46,Great Buy,One of my favorite purchases this season! Fits great and very versatile.,5,1,12,General,Dresses,Pants
90,841,61,Great Buy,Flattering cut and lovely fabric! Will definitely order in another color.,5,1,9,Initmates,Dresses,Fine knit
91,1191,32,Great Buy,Gorgeous color and wonderful material. Highly recommend buying this top!,5,1,6,General Petite,Dresses,Pants
92,989,63,Great Buy,Soft material and nice design. Fits really well and fast shipping too.,5,1,1,General Petite,Tops,Knits
93,1178,39,Great Buy,"Decent quality for the price, but runs slightly small around the waist.",3,1,10,General Petite,Bottoms,Blouses
94,960,62,Great Buy,"The sweater is warm, soft, and stylish. Fits true to size and looks elegant.",5,1,2,General,Dresses,Knits
95,989,31,Great Buy,Soft material and nice design. Fits really well and fast shipping too.,5,1,14,General,Tops,Pants
96,1117,52,Great Buy,"Decent quality for the price, but runs slightly small around the waist.",3,1,9,Initmates,Dresses,Dresses
97,1175,40,Great Buy,I absolutely loved this dress! Fits perfectly and very comfortable to wear all day.,5,1,7,General,Intimate,Dresses
98,895,33,Great Buy,I absolutely loved this dress! Fits perfectly and very comfortable to wear all day.,5,1,0,Initmates,Jackets,Knits
99,912,19,Great Buy,I absolutely loved this dress! Fits perfectly and very comfortable to wear all day.,5,1,13,General Petite,Dresses,Fine knit
100,1106,41,Great Buy,"The sweater is warm, soft, and stylish. Fits true to size and looks elegant.",5,1,5,Initmates,Tops,Knits
101,924,29,Great Buy,One of my favorite purchases this season! Fits great and very versatile.,5,1,5,General Petite,Tops,Blouses
102,1092,55,Great Buy,Cute design but required ironing out of the bag. Average quality overall.,3,1,8,General Petite,Intimate,Dresses
103,986,57,Disappointed,Sizing is completely off. Ordered my usual size and couldn't even zip it.,1,0,4,General Petite,Intimate,Knits
104,1156,64,Great Buy,"Okay top for everyday wear, but the color is slightly darker than pictured.",3,1,4,Initmates,Intimate,Pants
105,889,65,Great Buy,Great quality fabric and beautiful fit. Got so many compliments at work.,5,1,6,General,Bottoms,Blouses
106,1026,26,Great Buy,Fair product for the price point. Fits okay but nothing exceptional.,3,1,3,Initmates,Bottoms,Dresses
107,1078,35,Great Buy,"The sweater is warm, soft, and stylish. Fits true to size and looks elegant.",5,1,10,General,Dresses,Dresses
108,903,31,Disappointed,Way over-priced for such thin material. Doesn't look good at all.,1,0,6,General,Jackets,Fine knit
109,1196,22,Great Buy,Great quality fabric and beautiful fit. Got so many compliments at work.,5,1,4,General Petite,Intimate,Fine knit
110,916,47,Great Buy,Gorgeous color and wonderful material. Highly recommend buying this top!,5,1,9,Initmates,Tops,Knits
111,1019,65,Great Buy,Flattering cut and lovely fabric! Will definitely order in another color.,5,1,5,Initmates,Jackets,Knits
112,872,45,Disappointed,Way over-priced for such thin material. Doesn't look good at all.,1,0,2,Initmates,Intimate,Blouses
113,1154,56,Disappointed,"Disappointing purchase. Cheap fabric, scratchy texture, and poor tailoring.",1,0,9,General,Intimate,Blouses
114,812,39,Great Buy,Gorgeous color and wonderful material. Highly recommend buying this top!,5,1,13,General Petite,Dresses,Pants
115,864,45,Disappointed,Runs way too small and fabric is scratchy. Disappointed with the quality.,1,0,11,General,Intimate,Pants
116,1021,36,Great Buy,This dress exceeded my expectations! Beautiful drape and wonderful structure.,5,1,1,General,Dresses,Knits
117,935,19,Great Buy,This dress exceeded my expectations! Beautiful drape and wonderful structure.,5,1,8,General Petite,Dresses,Pants
118,1026,40,Great Buy,Soft material and nice design. Fits really well and fast shipping too.,5,1,4,General Petite,Dresses,Blouses
119,1088,28,Great Buy,Super cute top! The embroidery details are amazing and material feels premium.,5,1,14,General Petite,Bottoms,Knits
120,1148,45,Great Buy,Very comfortable jeans with good stretch. Perfectly tailored for everyday wear.,5,1,14,General Petite,Dresses,Blouses
121,803,29,Great Buy,Flattering cut and lovely fabric! Will definitely order in another color.,5,1,12,Initmates,Jackets,Pants
122,1076,53,Great Buy,I absolutely loved this dress! Fits perfectly and very comfortable to wear all day.,5,1,12,Initmates,Tops,Pants
123,896,38,Disappointed,Sizing is completely off. Ordered my usual size and couldn't even zip it.,1,0,10,General,Intimate,Blouses
124,1014,66,Great Buy,"Material is fine, but the sleeves are a bit longer than expected.",3,1,5,General,Dresses,Fine knit
125,1131,69,Great Buy,"Okay top for everyday wear, but the color is slightly darker than pictured.",3,1,12,General,Jackets,Pants
126,894,40,Disappointed,"Terrible material, feels cheap and fits horribly. Returning it immediately.",1,0,0,Initmates,Dresses,Fine knit
127,1129,50,Disappointed,Poor stitching and completely see-through. Definitely not worth the price.,1,0,3,General Petite,Jackets,Blouses
128,928,35,Great Buy,Super cute top! The embroidery details are amazing and material feels premium.,5,1,14,General,Bottoms,Fine knit
129,1164,38,Great Buy,Flattering cut and lovely fabric! Will definitely order in another color.,5,1,6,General Petite,Dresses,Knits
130,1148,28,Great Buy,"Okay top for everyday wear, but the color is slightly darker than pictured.",3,1,2,General,Intimate,Dresses
131,956,25,Disappointed,The color faded immediately and button fell off. Very bad construction.,1,0,9,General Petite,Intimate,Pants
132,1019,26,Great Buy,I absolutely loved this dress! Fits perfectly and very comfortable to wear all day.,5,1,5,General,Bottoms,Fine knit
133,837,35,Great Buy,Great quality fabric and beautiful fit. Got so many compliments at work.,5,1,12,General Petite,Jackets,Blouses
134,885,61,Disappointed,The color faded immediately and button fell off. Very bad construction.,1,0,12,Initmates,Bottoms,Knits
135,1117,67,Great Buy,Great quality fabric and beautiful fit. Got so many compliments at work.,5,1,9,General,Bottoms,Dresses
136,829,42,Disappointed,The color faded immediately and button fell off. Very bad construction.,1,0,8,General,Intimate,Fine knit
137,934,51,Great Buy,Great quality fabric and beautiful fit. Got so many compliments at work.,5,1,5,General,Bottoms,Fine knit
138,1087,38,Disappointed,Shrank completely after the first wash! Terrible quality for the price.,1,0,9,General,Dresses,Pants
139,1067,33,Great Buy,Flattering cut and lovely fabric! Will definitely order in another color.,5,1,9,General,Dresses,Blouses
140,1124,18,Great Buy,"The sweater is warm, soft, and stylish. Fits true to size and looks elegant.",5,1,6,General,Bottoms,Fine knit
141,1104,30,Disappointed,"Awful fit, looks like a sack on me. Fabric feels synthetic and uncomfortable.",1,0,13,Initmates,Dresses,Dresses
142,1073,49,Great Buy,One of my favorite purchases this season! Fits great and very versatile.,5,1,10,General,Bottoms,Knits
143,983,54,Disappointed,Poor stitching and completely see-through. Definitely not worth the price.,1,0,1,General Petite,Intimate,Fine knit
144,1170,54,Great Buy,Very comfortable jeans with good stretch. Perfectly tailored for everyday wear.,5,1,13,General,Tops,Fine knit
145,966,39,Great Buy,I absolutely loved this dress! Fits perfectly and very comfortable to wear all day.,5,1,0,General,Bottoms,Blouses
146,1095,58,Disappointed,"Terrible material, feels cheap and fits horribly. Returning it immediately.",1,0,13,Initmates,Tops,Knits
147,914,63,Great Buy,"Material is fine, but the sleeves are a bit longer than expected.",3,1,0,General,Jackets,Blouses
148,1084,31,Disappointed,Runs way too small and fabric is scratchy. Disappointed with the quality.,1,0,10,General,Jackets,Fine knit
149,813,30,Disappointed,"Awful fit, looks like a sack on me. Fabric feels synthetic and uncomfortable.",1,0,3,General Petite,Intimate,Dresses
150,948,39,Disappointed,Poor stitching and completely see-through. Definitely not worth the price.,1,0,10,General,Bottoms,Dresses
151,1061,50,Great Buy,"Material is fine, but the sleeves are a bit longer than expected.",3,1,11,Initmates,Intimate,Fine knit
152,1027,61,Disappointed,"Disappointing purchase. Cheap fabric, scratchy texture, and poor tailoring.",1,0,5,General Petite,Dresses,Knits
153,889,58,Great Buy,"Decent quality for the price, but runs slightly small around the waist.",3,1,0,Initmates,Dresses,Fine knit
154,1184,55,Great Buy,"The sweater is warm, soft, and stylish. Fits true to size and looks elegant.",5,1,14,General,Intimate,Dresses
155,961,53,Great Buy,Soft material and nice design. Fits really well and fast shipping too.,5,1,5,Initmates,Bottoms,Knits
156,1146,35,Disappointed,Poor stitching and completely see-through. Definitely not worth the price.,1,0,3,General Petite,Intimate,Dresses
157,1154,31,Great Buy,Flattering cut and lovely fabric! Will definitely order in another color.,5,1,10,General Petite,Bottoms,Pants
158,1105,66,Great Buy,Flattering cut and lovely fabric! Will definitely order in another color.,5,1,8,Initmates,Intimate,Pants
159,1059,67,Great Buy,"The sweater is warm, soft, and stylish. Fits true to size and looks elegant.",5,1,12,General,Intimate,Blouses
160,883,46,Great Buy,I absolutely loved this dress! Fits perfectly and very comfortable to wear all day.,5,1,7,General Petite,Tops,Pants
161,801,18,Great Buy,One of my favorite purchases this season! Fits great and very versatile.,5,1,6,General Petite,Jackets,Knits
162,1022,50,Great Buy,"Material is fine, but the sleeves are a bit longer than expected.",3,1,13,Initmates,Bottoms,Pants
163,1169,45,Disappointed,"Disappointing purchase. Cheap fabric, scratchy texture, and poor tailoring.",1,0,8,Initmates,Intimate,Fine knit
164,1052,48,Great Buy,Super cute top! The embroidery details are amazing and material feels premium.,5,1,8,General Petite,Tops,Fine knit
165,944,69,Great Buy,This dress exceeded my expectations! Beautiful drape and wonderful structure.,5,1,0,General Petite,Intimate,Fine knit
166,839,28,Great Buy,Cute design but required ironing out of the bag. Average quality overall.,3,1,0,Initmates,Jackets,Pants
167,900,48,Great Buy,I absolutely loved this dress! Fits perfectly and very comfortable to wear all day.,5,1,9,General,Jackets,Knits
168,894,23,Disappointed,Shrank completely after the first wash! Terrible quality for the price.,1,0,6,General Petite,Tops,Dresses
169,1147,35,Disappointed,"Awful fit, looks like a sack on me. Fabric feels synthetic and uncomfortable.",1,0,14,General,Jackets,Fine knit
170,1140,23,Disappointed,Sizing is completely off. Ordered my usual size and couldn't even zip it.,1,0,10,Initmates,Tops,Blouses
171,1049,32,Disappointed,Way over-priced for such thin material. Doesn't look good at all.,1,0,0,General Petite,Jackets,Fine knit
172,1177,37,Disappointed,Runs way too small and fabric is scratchy. Disappointed with the quality.,1,0,1,General Petite,Tops,Knits
173,1017,46,Great Buy,Very comfortable jeans with good stretch. Perfectly tailored for everyday wear.,5,1,6,General,Dresses,Pants
174,1106,69,Disappointed,Shrank completely after the first wash! Terrible quality for the price.,1,0,4,General,Jackets,Knits
175,821,19,Disappointed,Sizing is completely off. Ordered my usual size and couldn't even zip it.,1,0,9,General Petite,Intimate,Fine knit
176,1109,19,Disappointed,Poor stitching and completely see-through. Definitely not worth the price.,1,0,9,General,Bottoms,Pants
177,1112,54,Disappointed,The color faded immediately and button fell off. Very bad construction.,1,0,11,General,Bottoms,Fine knit
178,1019,61,Great Buy,I absolutely loved this dress! Fits perfectly and very comfortable to wear all day.,5,1,11,General,Bottoms,Fine knit
179,930,37,Disappointed,Runs way too small and fabric is scratchy. Disappointed with the quality.,1,0,0,Initmates,Jackets,Pants
180,1141,37,Disappointed,The color faded immediately and button fell off. Very bad construction.,1,0,0,General Petite,Tops,Pants
181,890,65,Great Buy,Gorgeous color and wonderful material. Highly recommend buying this top!,5,1,2,General,Intimate,Knits
182,1102,30,Disappointed,Way over-priced for such thin material. Doesn't look good at all.,1,0,3,Initmates,Bottoms,Dresses
183,838,45,Great Buy,Super cute top! The embroidery details are amazing and material feels premium.,5,1,5,General,Intimate,Pants
184,1136,28,Disappointed,"Terrible material, feels cheap and fits horribly. Returning it immediately.",1,0,2,Initmates,Dresses,Dresses
185,1144,30,Great Buy,I absolutely loved this dress! Fits perfectly and very comfortable to wear all day.,5,1,14,General Petite,Dresses,Knits
186,848,64,Disappointed,Way over-priced for such thin material. Doesn't look good at all.,1,0,2,Initmates,Dresses,Dresses
187,897,58,Disappointed,"Awful fit, looks like a sack on me. Fabric feels synthetic and uncomfortable.",1,0,1,General,Tops,Knits
188,1026,29,Great Buy,"Decent quality for the price, but runs slightly small around the waist.",3,1,14,General,Bottoms,Pants
189,1172,42,Great Buy,This dress exceeded my expectations! Beautiful drape and wonderful structure.,5,1,0,General Petite,Intimate,Fine knit
190,975,54,Great Buy,Soft material and nice design. Fits really well and fast shipping too.,5,1,3,General,Intimate,Knits
191,900,34,Disappointed,Way over-priced for such thin material. Doesn't look good at all.,1,0,9,Initmates,Tops,Fine knit
192,919,24,Disappointed,Shrank completely after the first wash! Terrible quality for the price.,1,0,11,Initmates,Dresses,Fine knit
193,835,37,Disappointed,Runs way too small and fabric is scratchy. Disappointed with the quality.,1,0,6,General,Tops,Knits
194,840,34,Great Buy,One of my favorite purchases this season! Fits great and very versatile.,5,1,13,General,Dresses,Knits
195,1069,69,Disappointed,"Awful fit, looks like a sack on me. Fabric feels synthetic and uncomfortable.",1,0,2,General Petite,Dresses,Knits
196,971,20,Disappointed,"Disappointing purchase. Cheap fabric, scratchy texture, and poor tailoring.",1,0,13,Initmates,Dresses,Knits
197,833,47,Great Buy,"Material is fine, but the sleeves are a bit longer than expected.",3,1,14,General,Jackets,Fine knit
198,939,22,Disappointed,Way over-priced for such thin material. Doesn't look good at all.,1,0,12,Initmates,Dresses,Blouses
199,1067,64,Disappointed,Shrank completely after the first wash! Terrible quality for the price.,1,0,9,Initmates,Intimate,Pants
200,881,33,Great Buy,This dress exceeded my expectations! Beautiful drape and wonderful structure.,5,1,12,General,Jackets,Knits
201,1126,24,Great Buy,Soft material and nice design. Fits really well and fast shipping too.,5,1,13,General,Intimate,Knits
202,811,26,Disappointed,Runs way too small and fabric is scratchy. Disappointed with the quality.,1,0,5,Initmates,Jackets,Dresses
203,979,45,Great Buy,Great quality fabric and beautiful fit. Got so many compliments at work.,5,1,9,General,Dresses,Fine knit
204,928,41,Disappointed,"Awful fit, looks like a sack on me. Fabric feels synthetic and uncomfortable.",1,0,10,General,Tops,Pants
205,869,51,Disappointed,Item arrived with torn seams and looks completely different from the pictures.,1,0,2,General Petite,Dresses,Blouses
206,1137,36,Great Buy,"Material is fine, but the sleeves are a bit longer than expected.",3,1,3,Initmates,Bottoms,Dresses
207,1028,27,Great Buy,I absolutely loved this dress! Fits perfectly and very comfortable to wear all day.,5,1,1,General,Jackets,Pants
208,885,18,Disappointed,Item arrived with torn seams and looks completely different from the pictures.,1,0,7,Initmates,Tops,Dresses
209,957,20,Disappointed,"Terrible material, feels cheap and fits horribly. Returning it immediately.",1,0,8,Initmates,Intimate,Blouses
210,922,57,Great Buy,"Okay top for everyday wear, but the color is slightly darker than pictured.",3,1,14,General,Tops,Dresses
211,858,44,Great Buy,Great quality fabric and beautiful fit. Got so many compliments at work.,5,1,1,General,Bottoms,Pants
212,807,30,Disappointed,Sizing is completely off. Ordered my usual size and couldn't even zip it.,1,0,14,Initmates,Dresses,Dresses
213,903,38,Disappointed,Item arrived with torn seams and looks completely different from the pictures.,1,0,14,Initmates,Bottoms,Pants
214,972,61,Great Buy,I absolutely loved this dress! Fits perfectly and very comfortable to wear all day.,5,1,13,General Petite,Intimate,Fine knit
215,858,43,Disappointed,Runs way too small and fabric is scratchy. Disappointed with the quality.,1,0,9,General,Bottoms,Knits
216,956,32,Disappointed,Sizing is completely off. Ordered my usual size and couldn't even zip it.,1,0,7,General,Dresses,Blouses
217,978,47,Disappointed,"Awful fit, looks like a sack on me. Fabric feels synthetic and uncomfortable.",1,0,13,Initmates,Dresses,Knits
218,1004,30,Disappointed,Item arrived with torn seams and looks completely different from the pictures.,1,0,0,General Petite,Dresses,Blouses
219,927,35,Great Buy,Super cute top! The embroidery details are amazing and material feels premium.,5,1,5,General,Jackets,Dresses
220,1136,56,Disappointed,Runs way too small and fabric is scratchy. Disappointed with the quality.,1,0,9,General,Tops,Blouses
221,872,28,Disappointed,"Terrible material, feels cheap and fits horribly. Returning it immediately.",1,0,11,General,Jackets,Pants
222,1107,20,Great Buy,I absolutely loved this dress! Fits perfectly and very comfortable to wear all day.,5,1,3,Initmates,Jackets,Knits
223,1106,36,Great Buy,Flattering cut and lovely fabric! Will definitely order in another color.,5,1,4,General,Dresses,Pants
224,1032,23,Great Buy,Gorgeous color and wonderful material. Highly recommend buying this top!,5,1,5,Initmates,Dresses,Pants
225,914,54,Great Buy,"The sweater is warm, soft, and stylish. Fits true to size and looks elegant.",5,1,5,General Petite,Bottoms,Blouses
226,1032,32,Disappointed,Poor stitching and completely see-through. Definitely not worth the price.,1,0,12,General Petite,Jackets,Dresses
227,898,49,Disappointed,"Disappointing purchase. Cheap fabric, scratchy texture, and poor tailoring.",1,0,0,General,Bottoms,Blouses
228,1058,50,Great Buy,Very comfortable jeans with good stretch. Perfectly tailored for everyday wear.,5,1,7,Initmates,Dresses,Dresses
229,1139,20,Disappointed,"Disappointing purchase. Cheap fabric, scratchy texture, and poor tailoring.",1,0,1,Initmates,Jackets,Dresses
230,1099,28,Disappointed,Sizing is completely off. Ordered my usual size and couldn't even zip it.,1,0,14,Initmates,Dresses,Blouses
231,971,67,Great Buy,This dress exceeded my expectations! Beautiful drape and wonderful structure.,5,1,0,Initmates,Intimate,Knits
232,1139,49,Great Buy,One of my favorite purchases this season! Fits great and very versatile.,5,1,5,General,Bottoms,Knits
233,1081,59,Disappointed,The color faded immediately and button fell off. Very bad construction.,1,0,4,General,Jackets,Dresses
234,1141,18,Great Buy,Soft material and nice design. Fits really well and fast shipping too.,5,1,5,General,Jackets,Dresses
235,802,27,Disappointed,"Disappointing purchase. Cheap fabric, scratchy texture, and poor tailoring.",1,0,7,Initmates,Dresses,Knits
236,945,51,Disappointed,Way over-priced for such thin material. Doesn't look good at all.,1,0,5,General Petite,Tops,Fine knit
